latitude,longitude,name,groupclust
52.361111000,4.948330000,T012,1
52.361766000,4.948806000,T018,1
52.361714000,4.949936000,T030,1
52.360679000,4.951471000,T061,1
52.359268000,4.952588000,T075,1
52.358883000,4.949587000,T089,1
52.358410000,4.950218000,T112,1
52.359825000,4.952364000,T140,1
52.361648000,4.949988000,T156,1
52.361193000,4.948267000,T169,1
52.359792000,4.952399000,T138,2b
52.359501000,4.952678000,T073,2b
52.358571000,4.950453000,T114,2b
52.358577000,4.949713000,T108,2b
52.358618000,4.948512000,T099,2b
52.359574000,4.948138000,T184,2b
52.360033000,4.948130000,T006,2b
52.361613000,4.950132000,T155,2b
52.361641000,4.949884000,T031,2b
52.361961000,4.949394000,T021,2b
52.360090000,4.948132000,T007,3b
52.361312000,4.949752000,T025,3b
52.359546000,4.952013000,T068,3b
52.359132000,4.952473000,T077,3b
52.358714000,4.949672000,T109,3b
52.358708000,4.950337000,T115,3b
52.359783000,4.952448000,T139,3b
52.361731000,4.948731000,T163,3b
52.360219000,4.947998000,T176,3b
52.360113000,4.947982000,T178,3b
52.359248000,4.952667000,T076,4d
52.359361000,4.952553000,T074,4d
52.359848000,4.951894000,T064,4d
52.358466000,4.950357000,T113,4d
52.358811000,4.950218000,T116,4d
52.360380000,4.948180000,T174,4d
52.359741000,4.948029000,T005,4d
52.361064000,4.948203000,T171,4d
52.362022000,4.948888000,T159,4d
