latitude,longitude,name,groupuni,,,,,,,,
52.359539000,4.948297000,T004,4d,,,,,,,,
52.360033000,4.948130000,T006,2b,,,,,,,,
52.36105250488189,4.948158816666667,T012,1,,,,,,,,
52.361237000,4.948663000,T015,3b,,,,,,,,
52.361766000,4.948806000,T018,1,,,,,,,,
52.361961000,4.949394000,T021,2b,,,,,,,,
52.361245000,4.948956000,T027,4d,,,,,,,,
52.361714000,4.949936000,T030,1,,,,,,,,
52.361531437165354,4.94974874030303,T031,2b,,,,,,,,
52.361510000,4.950674000,T035,3b,,,,,,,,
52.361419000,4.950917000,T037,4d,,,,,,,,
52.360867000,4.950500000,T044,3b,,,,,,,,
52.360656000,4.951097000,T048,4d,,,,,,,,
52.360782000,4.951335000,T056,3b,,,,,,,,
52.360943000,4.951352000,T058,4d,,,,,,,,
52.360679000,4.951471000,T061,1,,,,,,,,
52.359501000,4.952678000,T073,2b,,,,,,,,
52.359268000,4.952588000,T075,1,,,,,,,,
52.358883000,4.949587000,T089,1,,,,,,,,
52.358931000,4.948384000,T094,3b,,,,,,,,
52.358618000,4.948512000,T099,2b,,,,,,,,
52.358577000,4.949713000,T108,2b,,,,,,,,
52.358410000,4.950218000,T112,1,,,,,,,,
52.358571000,4.950453000,T114,2b,,,,,,,,
52.358464000,4.951393000,T122,4d,,,,,,,,
52.358437000,4.951674000,T124,3b,,,,,,,,
52.358672000,4.952040000,T128,4d,,,,,,,,
52.358772000,4.952522000,T133,3b,,,,,,,,
52.358701000,4.952544000,T135,4d,,,,,,,,
52.359792000,4.952399000,T138,2b,,,,,,,,
52.359825000,4.952364000,T140,1,,,,,,,,
52.361077000,4.951539000,T149,3b,,,,,,,,
52.361308000,4.951208000,T153,4d,,,,,,,,
52.361613000,4.950132000,T155,2b,,,,,,,,
52.361648000,4.949988000,T156,1,,,,,,,,
52.361193000,4.948267000,T169,1,,,,,,,,
52.359574000,4.948138000,T184,2b,,,,,,,,
52.359478000,4.948727000,T187,3b,,,,,,,,
52.359178000,4.948227000,T189,4d,,,,,,,,
52.359166000,4.948757000,T203,3b,,,,,,,,
